0 1 2
3 4 5
6 1 0
7 8 9
10 11 12
13 3 5
10 12 14
7 15 8
15 7 16
17 18 14
15 19 8
20 15 16
5 21 22
15 23 19
24 20 25
17 14 12
11 23 15
26 5 22
27 28 29
18 10 14
30 2 31
28 32 33
30 19 2
34 4 23
30 8 19
21 10 18
34 11 10
34 23 11
5 34 21
35 36 37
35 38 39
40 22 21
21 34 10
32 28 27
41 42 38
26 40 37
43 32 27
44 29 45
41 46 42
47 48 39
20 24 49
50 51 52
48 53 54
18 55 21
36 13 37
56 49 24
24 25 57
29 44 58
3 59 4
40 26 22
2 43 27
4 34 5
60 43 19
51 9 61
62 19 23
58 63 29
0 2 29
61 1 6
29 2 27
43 2 19
59 62 4
62 23 4
43 29 33
0 29 63
15 17 12
15 20 17
1 31 2
30 31 64
7 9 51
65 17 20
25 20 16
49 65 20
15 12 11
31 1 64
62 59 66
44 0 63
67 68 48
44 45 0
67 48 54
64 1 61
42 69 38
57 25 70
61 71 52
54 59 72
53 50 52
6 0 45
51 61 52
25 53 70
48 68 39
59 3 72
73 46 41
5 26 13
42 56 74
42 74 75
42 75 76
43 45 29
19 62 60
59 54 66
43 60 45
60 62 66
60 66 71
6 45 71
47 70 53
71 45 60
37 13 26
13 36 3
54 71 66
47 53 48
61 6 71
36 72 3
36 68 72
53 52 54
52 71 54
35 39 36
36 39 68
33 29 28
63 58 44
68 67 72
67 54 72
43 33 32
55 18 73
18 49 73
40 77 37
40 55 77
9 64 61
40 21 55
35 41 38
9 30 64
46 56 42
7 51 50
53 25 50
8 30 9
47 78 70
50 16 7
55 73 41
78 57 70
25 16 50
35 37 41
47 75 78
39 38 47
74 57 78
75 47 38
76 75 38
79 76 38
18 17 65
18 65 49
56 57 74
38 69 79
24 57 56
